Guardians of the Galaxy,['170000000'],[7.73328629e+08],[6.03328629e+08]
Her,['23000000'],[47351251.],[24351251.]
The Revenant,['0' '135000000'],[0.00000000e+00 5.32950503e+08],[0.00000000e+00 5.32950503e+08]
The Revenant,['0' '135000000'],[0.00000000e+00 5.32950503e+08],[0.00000000e+00 5.32950503e+08]
The Perks of Being a Wallflower,['13000000'],[33400000.],[20400000.]
The King's Speech,['15000000'],[4.14211549e+08],[3.99211549e+08]
The Help,['25000000'],[1.24272124e+08],[99272124.]
Deadpool,['58000000'],[7.83112979e+08],[7.25112979e+08]
Dev.D,['0'],[0.],[0.]
My Name Is Khan,['12000000'],[42345360.],[30345360.]
Slumdog Millionaire,['15000000'],[3.77910544e+08],[3.62910544e+08]
Black Swan,['13000000'],[3.27803731e+08],[3.14803731e+08]
Tropa de Elite,['4000000'],[0.],[-4000000.]
The Avengers,['60000000' '220000000'],[4.85854160e+07 1.51955791e+09],[-1.14145840e+07  1.45955791e+09]
The Avengers,['60000000' '220000000'],[4.85854160e+07 1.51955791e+09],[-1.14145840e+07  1.45955791e+09]
Persepolis,['7300000'],[0.],[-7300000.]
Dallas Buyers Club,['5000000'],[55198285.],[50198285.]
The Pursuit of Happyness,['55000000'],[3.07077295e+08],[2.52077295e+08]
Blood Diamond,['100000000'],[1.70877916e+08],[70877916.]
The Bourne Ultimatum,['70000000'],[4.42824138e+08],[3.72824138e+08]
Sin City,['40000000'],[1.5873382e+08],[1.1873382e+08]
Le scaphandre et le papillon,['14000000'],[19777647.],[5777647.]
G.O.R.A.,['0'],[0.],[0.]
Ratatouille,['150000000'],[6.23722818e+08],[4.73722818e+08]
Casino Royale,['12000000' '150000000'],[4.1744718e+07 5.9904596e+08],[2.9744718e+07 5.8704596e+08]
Casino Royale,['12000000' '150000000'],[4.1744718e+07 5.9904596e+08],[2.9744718e+07 5.8704596e+08]
Kill Bill: Vol. 2,['30000000'],[1.52159461e+08],[1.22159461e+08]
Mar adentro,['12806000'],[38535221.],[25729221.]
Cinderella Man,['88000000'],[1.08539911e+08],[20539911.]
Pirates of the Caribbean: The Curse of the Black Pearl,['140000000'],[6.55011224e+08],[5.15011224e+08]
Big Fish,['70000000'],[1.22919055e+08],[52919055.]
The Incredibles,['92000000'],[6.31442092e+08],[5.39442092e+08]
Dogville,['10000000'],[16680836.],[6680836.]
Vizontele,['0'],[0.],[0.]
Donnie Darko,['6000000'],[1270522.],[-4729478.]
Magnolia,['37000000'],[48451803.],[11451803.]
Dancer in the Dark,['12800000'],[40031879.],[27231879.]
The Straight Story,['10000000'],[0.],[-10000000.]
Festen,['1300000'],[0.],[-1300000.]
Central do Brasil,['2900000'],[5596708.],[2696708.]
The Iron Giant,['70000000'],[23159305.],[-46840695.]
Knockin' on Heaven's Door,['0'],[0.],[0.]
Sling Blade,['1000000'],[24444121.],[23444121.]
Secrets & Lies,['4500000'],[13417292.],[8917292.]
Twelve Monkeys,['29500000'],[1.6884e+08],[1.3934e+08]
K�kaku Kid�tai,['0'],[101203.],[101203.]
The Nightmare Before Christmas,['18000000'],[75634409.],[57634409.]
Groundhog Day,['14600000'],[70906973.],[56306973.]
Bound by Honor,['35000000'],[0.],[-35000000.]
Scent of a Woman,['31000000'],[1.34095253e+08],[1.03095253e+08]
Aladdin,['28000000'],[5.04050219e+08],[4.76050219e+08]
JFK,['40000000'],[2.05405498e+08],[1.65405498e+08]
Beauty and the Beast,['25000000' '0' '0' '0' '160000000'],"[3.77350553e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.26288634e+09]","[ 3.52350553e+08 -2.50000000e+07 -2.50000000e+07 -2.50000000e+07
  1.23788634e+09]"
